,Effectiveness,Price,Taste,Side effects,Quality control,Varied results,Ingredients,date,name,title,content,rating
0,0,-1,0,-1,0,-1,0,2022-06-02,Mandy,UPDATED REVIEW - 5 months in,"I have been taking these gummies (along with their women’s multi vitamin) religiously for 3.5 weeks now. There isn’t a drastic difference yet, but I am seeing improvements and plan to wait a full 3 months for best results like others have mentioned.. For my background, I am a healthy 30 year old woman. No history of medical issues (aside from occasional low iron which I take vitamins for as well). 7 months ago I had COVID for about 8 days. I lost my taste and smell like most other people but that was about it. Fast forward about 3 months later, I started to notice that I was losing more hair every time I would shower (which is daily for my oily hair). It wasn’t large clumps at a time but it was definitely more than the usual 5-10 strands that I was used to. I thought at first that this was stress-related since I’ve had a lot going on lately but then I started to notice that my hair texture had drastically changed to being thin and lifeless and the crown of my head and hair-part were really thin. I could see my scalp when I have never been able to see that before which started to scare me. By month 6 I was looking up every option to help.. At the beginning of May I started using the following:. - I take 2 of these vitamins once a day at night (both the hair vitamins and womens multi vitamin). - I kept up with my routine of taking iron pills because I’m anemic (this can also affect hair growth so I made sure to keep up with this - but DO NOT take iron supplements if you don’t need it as this can cause health problems for someone that doesn’t need iron supplements). -I started using Nioxin hair treatments (2% minoxidil topical treatments twice per day, massaged into my scalp in the morning and at night). - I started using Nioxin shampoo and conditioner every day. - and I started to use Redken extreme length sealer cream as a styling leave in conditioner before blow drying my hair. (All products mentioned are pictured with this review). After 3.5 weeks of this strict routine, I am starting to notice a difference and hope for continued growth. I will say, I am unsure which product is doing the trick for me but I am keeping up with the routine regardless because I am desperate for my old hair back.. Note: it’s worth mentioning that I’ve been told that once you start a topical solution like Nioxin, you’ll have to keep up with it otherwise your hair will start to fall out again like it did originally. It shouldn’t cause additional fallout, but it will essentially go back to where you started from what I’ve heard. I’m not sure if this is a marketing scheme or if it’s true, so I’m just incorporating it into my routine from here on out- it’s honestly not that inconvenient once you’re used to it. Also if using any Minoxidil topical solution, be careful when applying the solution that you don’t get it on your face-unless you want facial hair.. I hope to post an update in 2 or 3 months. Thanks for reading my long review (sorry!) and good luck to anyone else going through this.. ***5-MONTH UPDATE*** I have been eating these gummies every night for 5 months now. I am happy to say that I have seen significant hair growth and my hair is much thicker again (no more bald spots on top of my head either). I stopped using the Nioxin after about 2 months of my routine because my hairline improved quickly and I wanted to see if I could take away that treatment and keep my results. Now, I am only taking the vitamins and my hair has grown about 6 inches in 5 months! My hair usually grows slow so this was a big deal for me. I also noticed that my nails are so much stronger than before, and my eyelashes seem to be thicker as well (I didn’t start to notice these benefits until about month 3 or 4 though). I haven’t had any skin issues like some people have posted, but everyone is different. I hope to continue these vitamins for the next 6–7 months and then I plan to provide a 1-year updated review.",5
1,1,1,0,0,1,1,1,2020-04-23,Texas Jen,"This helped me slow down hair loss, but when I stopped talking it the hair loss returned.","They are a little expensive, but they seem to work. I'm on my 3rd bottle. I took first bottle thinking I'll try it... who knows. I didn't really see a difference at first.. I sit in my chair and have a habit of running my fingers through my hair getting rid of tangles when I am on the phone. Usually every time I end up having about 10-15 stands come out every time I comb through my hair with my hands to the point I was getting very concerned! Then shower after and as I'm shampooing and conditioning more would come out in my hands. Plus, I'd need to clear the drain several times to get water to drain and even after shower and after water had all drained go back and clear the rest of the hair out of drain.. I've always had very thick hair. I keep it below shoulders but above or at bra strap range.. So back to the first bottle. I had been taking them every day, and I was nearing 3 week and trying to decide if I should order another bottle and had decided not to waste the money. A few days later, I was chatting on the phone with my mom and running my fingers through my hair... like I do, and noticed only 2-3 strands of hair in my fingers each time. I was shocked. I kept running my hands through my hair and sometimes only 1 strand or none. I took a shower, least amount of hair in my drain than I've seen in a very long time!. So I ordered my second btl.. I wasn't as diligent about taking it daily and with this stay at home order where I live, different from shelter in place orders other states have, I got a little down and at a time where I should be upping all my supplement intake to keep my immune system healthy, I got down and wasn't taking much of anything.. I started noticing handfuls of hair coming out each time again. So I started back on my gummies about 2 week's ago and put in my order for my next bottle and received it yesterday.. So I haven't noticed thicker hair yet, but my hair didn't get down to half its thickness in just a month. It took a year and a half to really get thin.. I will say that it's already started slowing down the hairs I lose every time I run my fingers through it.. I did notice that my scalp is less visible when I'm styling it ( that I noticed after the first month I started taking them).. Biotin and folic acid are very important to hair and growth. But what is also important to know is B vitamins work together. So this product contains 5B vitamins (B6,B9,B12,B7, and B5).. The only thing I wish they would remove is the blue coloring. I usually attempt to stay away from food colorings. I mean who cares what color it is as long as it works. Plus I prefer not to have extra toxic ingredients, and I would love if they added all the B vitamins.. I'm going to finish my second bottle and start my third with no long gaps this time to see how things go, but in the interim I'm also going to look for a good liquid B complex as well.. Just a side note if you didn't already glean this little tidbit of knowledge from my long winded review, when you stop taking these you will go back to losing your hair.. It's not a one time quick fix! However, that is with everything in life. You stop eating junk food for a month, you feel great and lose weight and have more energy and are healthier for those changes and choices made. You go back to eating junk and you go back to where you were before.. Any healthy changes you choose to make in your life you will need to continue in order to keep seeing results.. I hope this helps anyone that has a bit of time on their hands to read it. 😁. Clearly I had a bit of extra time on my hands to write it considering most of us are staying at home until we can return to work.",5
2,0,-1,-1,-1,-1,-1,-1,2023-02-08,Marlice Perez-Rivera,"The hype is real, I stand corrected","For so long I never bought these because I didn’t want to support the kardashians financially since they promoted it often, however now years later, I tried it and I love it. A family friend who went to cosmetology school, and hair school, recommended these to me after I told her that ever since I cut my hair super short in college I feel like my hair doesn’t grow pst a certain length anymore. I started taking these and my lashes are fuller and my brows are fuller! Best of all my hair is literally noticeably longer than it ever has been other than when I was a little girl. I didn’t want to believe it but it works. I will note that I have a sensitivity to biotin, but most HSN type of vitamins have biotin in them. Because of this I have the tendency to break out when taking anything with it as an incredibly even in the smallest amount. This is something I never was looking to “sacrifice” with other vitamins because they didn’t show much results and I would break out quite a bit, even on my back (I NEVER break out there). My break outs while taking sugar bear were not the worst, but I was getting more than one which I never do. I use a pretty consistent routine that otherwise leaves my skin pretty clear so I feel like I notice everything on my face. Will be repurchasing !",5
3,1,1,1,0,1,1,1,2023-03-20,Buywhat Ineed,Excelente,"Mi comentario positivo no es por que me hayan dado $. Déjenme decirles que es muy bueno a mi se me caía mucho pelo y es que tengo bastante pero cada vez al bañarme un un manojo en la tina y una semana después de tomar estas ya no se me car igual podría decir lo normal en caerse, lo malo de estas gomitas es que es demasiado caro para mi presupuesto. Pero de verdad lo recomiendo",5
4,0,-1,-1,0,0,0,0,2023-03-27,Anait Yeghshatyan,Do it!!,I have tried this product a few times over the years and it always helps. I have only consistently taken it for a month or two and always seen dramatic hair growth. No breakouts and no weird side effects. Highly recommend it!,5
5,0,0,-1,0,0,0,0,2023-03-20,Melinda Viera,Where have these been all my life?,"As a professional hairstylist I have tried so many hair growth products it's unreal. Within 30 days I noticed lengthy baby hairs in bang area, around ears and nape area! 60 days I had to bobby pin my bang area.... This is the best hair growth products in the market!!! So glad I found them",5
6,0,0,0,-1,0,0,-1,2023-03-24,Jessica Guerra,Favourite,I’ve had these before and I could see the difference in my hair! The products were fine when they arrived!,5
7,0,0,-1,0,0,0,0,2023-03-06,Lacosta Rothell,Love these vitamins,"I love these vitamins!. I lost a lot of my hair after having covid. A friend told me about these vitamins. I started taking them and noticed a huge difference in about a 1.5 month time frame. Not only did they help my hair, but they help clear my skin from acne as well.",5
8,1,1,1,0,1,1,1,2023-03-24,Teresa,Will buy again,"They are easy to chew, and i actually got alot of new hair growth",5
9,1,0,0,0,0,1,0,2023-03-25,"Customer 1000000 Ches, VA",Work great!!,These are amazing! And they taste great which is an extra bonus.,5
